Regime_Filter,Threshold,Holding_Period,Total_Return,CAGR,Sharpe,Sortino,Max_Drawdown,Win_Rate,Profit_Factor,Trades,Exposure,Buy_Hold_Return,Excess_Return
Only_Downtrend,0.75,5,-0.15105614046382954,-0.04902165968847905,-0.48797022714701166,-0.3193264851200031,-0.21948714500721977,0.4722222222222222,0.7136899734856709,36,0.26375,-0.3124085033541204,0.16135236289029087
Only_Downtrend,0.75,10,-0.2128159224762619,-0.07081452806933419,-0.6516822581882288,-0.46646590545159894,-0.24765332338709334,0.42857142857142855,0.538462303291316,21,0.28375,-0.3124085033541204,0.0995925808778585
Only_Downtrend,0.75,15,-0.2697741022648319,-0.09199017168918233,-0.794230984797555,-0.5610327391362566,-0.3166253911277517,0.5,0.4219560457330154,16,0.30875,-0.3124085033541204,0.04263440108928851
Only_Downtrend,0.75,20,-0.23344637638801413,-0.0783578637033997,-0.6924600756359213,-0.4742760071531582,-0.27252236240372263,0.5,0.410704966688982,12,0.2975,-0.3124085033541204,0.07896212696610627
Only_Downtrend,0.8,5,-0.26227625726507264,-0.08913866810170634,-1.0220440864843046,-0.6003059352510801,-0.28211084397677166,0.3939393939393939,0.44522602512116605,33,0.24,-0.3124085033541204,0.05013224608904776
Only_Downtrend,0.8,10,-0.2055717653415936,-0.06819829024100954,-0.6390124696225471,-0.4356051098174239,-0.23389257302655664,0.45,0.5765649510722339,20,0.26875,-0.3124085033541204,0.1068367380125268
Only_Downtrend,0.8,15,-0.2733057397490707,-0.093340321440325,-0.8294521132519771,-0.5500684606100249,-0.3293004745034883,0.4666666666666667,0.4070272747763094,15,0.2875,-0.3124085033541204,0.03910276360504972
Only_Downtrend,0.8,20,-0.290972281164095,-0.10016341573282128,-0.8906049758990184,-0.6092548525029329,-0.351610257539389,0.4166666666666667,0.3064757344985228,12,0.29625,-0.3124085033541204,0.02143622219002539
Only_Uptrend,0.6,5,-0.12334954691902811,-0.03960129162332637,-0.5883758926645906,-0.3776619829408314,-0.16103609787392859,0.32,0.5259763379384357,25,0.1875,-0.3124085033541204,0.1890589564350923
Only_Uptrend,0.6,10,-0.013047711789814342,-0.004023012332132647,0.0016171534101667626,0.00143426263829047,-0.13620455379751895,0.47368421052631576,0.9866882583051028,19,0.26125,-0.3124085033541204,0.29936079156430606
Only_Uptrend,0.6,15,-0.03597833995407418,-0.01118347676180742,-0.06111857820867652,-0.057914902066285745,-0.12992843815373267,0.42857142857142855,0.9106022624760984,14,0.28,-0.3124085033541204,0.2764301634000462
Only_Uptrend,0.6,20,-0.08266556966945393,-0.026135530601101076,-0.19741227282305748,-0.1901874039217911,-0.19722218141409575,0.4166666666666667,0.7993555989619276,12,0.315,-0.3124085033541204,0.22974293368466647
