Model,Fold,Date,Actual,Probability,Prediction,Close,Return_1D,Trend_Return_20D,Trend_Return_60D,Volatility_20D,Volatility_Median,Forward_Return_10D,Signal,Regime
XGBoost,5,2024-11-04,1,0.8962885141372681,1,3964.14990234375,-0.005032390209790516,-0.07224690505333398,-0.04994545591993427,0.1497722406153001,0.1723463904814337,0.01902050839192415,1,Strong_Downtrend_LowVol
XGBoost,5,2024-11-05,1,0.8987098336219788,1,3971.35009765625,0.001816327709565968,-0.0662787050711221,-0.0608690280446349,0.1509889279280891,0.17228997208863814,0.025558058973421005,1,Strong_Downtrend_LowVol
XGBoost,5,2024-11-06,1,0.6782045960426331,1,4139.64990234375,0.04237848604353078,-0.02664039966741838,-0.013347157485355865,0.22187368646896796,0.1723463904814337,0.02535243264245124,0,Weak_Downtrend
XGBoost,5,2024-11-07,1,0.7009809613227844,1,4150.89990234375,0.002717621119030067,-0.018096229778873485,-0.010972322954935887,0.22155739795721335,0.17240280887422926,0.03955773426860687,1,Weak_Downtrend
XGBoost,5,2024-11-08,1,0.7009809613227844,1,4147.0,-0.0009395317727483032,-0.0005302697408974266,-0.03451487107851692,0.21151549944698148,0.1725070524784916,0.04960216911321447,1,Weak_Downtrend
XGBoost,5,2024-11-11,1,0.5726436972618103,1,4198.7001953125,0.012466890598625602,0.01500013161219993,-0.049218106449861576,0.21562996240567467,0.17261129608275394,0.03187882038456369,0,Weak_Uptrend
XGBoost,5,2024-11-12,1,0.5741950869560242,1,4197.39990234375,-0.0003096894058313149,0.0195783379032608,-0.06516705961163693,0.2146619748971901,0.17275773178826692,0.011316529543319742,0,Weak_Uptrend
XGBoost,5,2024-11-13,1,0.593315601348877,1,4150.35009765625,-0.01120927378428449,0.013528894649498913,-0.08245080430988938,0.21797904485040812,0.1729041674937799,0.029033695270200832,0,Weak_Uptrend
XGBoost,5,2024-11-14,1,0.6569667458534241,1,4145.89990234375,-0.0010722457642822203,0.008980263408067568,-0.08911350052867184,0.2178334883690368,0.1729912855707646,0.0315371820545125,0,Weak_Uptrend
XGBoost,5,2024-11-18,1,0.7046766877174377,1,4019.5,-0.030487929115773804,-0.025114856621371473,-0.10717458907152377,0.2436065086798799,0.17307840364774932,0.07046896380146794,1,Weak_Downtrend
XGBoost,5,2024-11-19,1,0.6871570348739624,1,4039.550048828125,0.004988194757588049,-0.009877825867003365,-0.09506258267413703,0.241940496933434,0.17318460517934858,0.07794181275386425,0,Weak_Downtrend
XGBoost,5,2024-11-21,1,0.6869116425514221,1,4072.85009765625,0.008243504456092898,0.014282180962831514,-0.09541473620374674,0.23664430523180865,0.17329080671094782,0.09605060280916522,0,Weak_Uptrend
XGBoost,5,2024-11-22,1,0.5649750232696533,1,4244.60009765625,0.0421694871851126,0.043861075353519796,-0.05615774661099915,0.27613584142483266,0.1733078626748613,0.047330702002923886,0,Weak_Uptrend
XGBoost,5,2024-11-25,1,0.4009934365749359,0,4315.10009765625,0.01660933854261759,0.06600958565151038,-0.04237629749067817,0.27939267552578884,0.17332491863877478,0.03176051576693184,0,Strong_Uptrend_HighVol
XGBoost,5,2024-11-26,1,0.3805783689022064,0,4352.7001953125,0.008713609604716455,0.07274097495596354,-0.03526300285081463,0.28000598640355273,0.17334389230200456,0.018344844761187806,0,Strong_Uptrend_HighVol
XGBoost,5,2024-11-27,1,0.3841496407985687,0,4332.5498046875,-0.004629400078300927,0.05908300261838639,-0.048575392876749945,0.28094926174784096,0.17336286596523434,0.02190405070989021,0,Strong_Uptrend_HighVol
XGBoost,5,2024-11-28,1,0.2898951768875122,0,4244.89990234375,-0.02023055851520028,0.04162932392951357,-0.061080924624504984,0.2920704328435125,0.1735879443971456,0.04948297905747423,0,Weak_Uptrend
XGBoost,5,2024-11-29,1,0.4073731303215027,0,4270.85009765625,0.006113264366533588,0.045585349972260714,-0.05351978343290276,0.2924010674536229,0.1738130228290568,0.04754318228095378,0,Weak_Uptrend
XGBoost,5,2024-12-02,1,0.3055686056613922,0,4276.64990234375,0.0013579977182254233,0.07766255212085116,-0.04523080820589387,0.2689039239738609,0.1739371675774423,0.03239692192078181,0,Strong_Uptrend_HighVol
XGBoost,5,2024-12-03,1,0.3819903135299682,0,4302.75,0.006102930623791858,0.07995332883191009,-0.038695737833250754,0.2690197803339473,0.17406131232582778,0.005984544767881017,0,Strong_Uptrend_HighVol
XGBoost,5,2024-12-04,0,0.4721872210502624,0,4354.39990234375,0.012003928265353458,0.09844481404935523,-0.022965187110843055,0.2682388046792449,0.17410436880783026,-0.001504180790555032,0,Strong_Uptrend_HighVol
XGBoost,5,2024-12-05,0,0.436297208070755,0,4464.0498046875,0.02518140382208145,0.12406352875361559,0.003258756646509431,0.2774105302453808,0.17414742528983276,-0.043043852723592346,0,Strong_Uptrend_HighVol
XGBoost,5,2024-12-06,0,0.3573099076747894,0,4445.5,-0.00415537583564185,0.07388308307982427,-0.013831448762829823,0.243611237621589,0.1747488325364029,-0.06190534142672366,0,Strong_Uptrend_HighVol
XGBoost,5,2024-12-09,0,0.4462079703807831,0,4452.14990234375,0.0014958727575637987,0.07257462407848081,-0.006072353068971359,0.24371394570235566,0.175350239782973,-0.06600184272806231,0,Strong_Uptrend_HighVol
XGBoost,5,2024-12-10,0,0.3232079446315765,0,4432.5498046875,-0.004402389426719888,0.0688569579666023,-0.01884817206625411,0.2448805015616606,0.17541700551017725,-0.057088992980946385,0,Strong_Uptrend_HighVol
XGBoost,5,2024-12-11,0,0.3232079446315765,0,4427.4501953125,-0.0011504911619057978,0.05448114639272905,-0.0210387609536955,0.24299163365161724,0.17548377123738146,-0.058351892457147114,0,Strong_Uptrend_HighVol
XGBoost,5,2024-12-12,0,0.4023072421550751,0,4454.9501953125,0.006211249994209966,0.06135948419518922,-0.012917477358333818,0.24299916071294975,0.17555366085560717,-0.06511859503199235,0,Strong_Uptrend_HighVol
XGBoost,5,2024-12-13,0,0.4300086498260498,0,4473.89990234375,0.004253629378660362,0.07795723181767533,-0.007046708174881511,0.23705482872061948,0.17562355047383288,-0.07043074376589831,0,Strong_Uptrend_HighVol
XGBoost,5,2024-12-16,0,0.3563823699951172,0,4415.2001953125,-0.013120478399728852,0.06495581159991581,0.015887692445102575,0.24413558295771987,0.17575413280273794,-0.07256752407841782,0,Strong_Uptrend_HighVol
XGBoost,5,2024-12-17,0,0.415903240442276,0,4328.5,-0.019636752916560196,0.07687523323796497,0.007530020690991623,0.22665120818467077,0.17588471513164297,-0.04991331978456737,0,Strong_Uptrend_HighVol
XGBoost,5,2024-12-18,0,0.3719558715820312,0,4347.85009765625,0.004470393359420122,0.07632039338578389,0.014691170563416733,0.2266228361764968,0.17598395460759586,-0.0395828038664493,0,Strong_Uptrend_HighVol
